customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Monthly,Total,Cuentas_diarias,gasto_total_mensual
0018-NYROU,0,Female,0,1,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,68.95,351.5,2.2983333333333333,70.3
0019-EFAEP,0,Female,0,0,0,72,1,1,Fiber optic,1,1,1,0,1,0,Two year,1,Bank transfer (automatic),101.3,7261.25,3.3766666666666665,100.85069444444444
0019-GFNTW,0,Female,0,0,0,56,0,0,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),45.05,2560.1,1.5016666666666665,45.716071428571425
0020-INWCK,0,Female,0,1,1,71,1,1,Fiber optic,0,1,1,0,0,1,Two year,1,Credit card (automatic),95.75,6849.4,3.191666666666667,96.47042253521126
0020-JDNXP,0,Female,0,1,1,34,0,0,DSL,1,0,1,1,1,1,One year,0,Mailed check,61.25,1993.2,2.0416666666666665,58.62352941176471
0021-IKXGC,0,Female,1,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,72.1,72.1,2.4033333333333333,72.1
0022-TCJCI,1,Male,1,0,0,45,1,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),62.7,2791.5,2.0900000000000003,62.03333333333333
0023-HGHWL,1,Male,1,0,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,25.1,25.1,0.8366666666666667,25.1
0023-UYUPN,0,Female,1,1,0,50,1,1,No,0,0,0,0,0,0,One year,0,Electronic check,25.2,1306.3,0.84,26.125999999999998
0023-XUOPT,1,Female,0,1,0,13,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,Electronic check,94.1,1215.6,3.1366666666666663,93.5076923076923
0027-KWYKW,0,Female,0,1,1,23,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,83.75,1849.95,2.7916666666666665,80.43260869565218
0030-FNXPP,0,Female,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.85,57.2,0.6616666666666667,19.066666666666666
0031-PVLZI,1,Female,0,1,1,4,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.35,76.35,0.6783333333333333,19.0875
0032-PGELS,1,Female,0,1,1,1,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),30.5,30.5,1.0166666666666666,30.5
0036-IHMOT,0,Female,0,1,1,55,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),103.7,5656.75,3.4566666666666666,102.85
0040-HALCW,0,Male,0,1,1,54,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.4,1090.6,0.6799999999999999,20.196296296296296
0042-JVWOJ,0,Male,0,0,0,26,1,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),19.6,471.85,0.6533333333333334,18.148076923076925
0042-RLHYP,0,Female,0,1,1,69,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),19.7,1396.9,0.6566666666666666,20.244927536231884
0048-LUMLS,0,Male,0,1,1,37,1,0,Fiber optic,0,0,0,0,1,1,One year,0,Credit card (automatic),91.2,3247.55,3.04,87.77162162162162
0048-PIHNL,0,Female,0,1,0,49,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),20.45,900.9,0.6816666666666666,18.385714285714286
0052-DCKON,0,Male,0,1,0,66,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Bank transfer (automatic),115.8,7942.15,3.86,120.33560606060605
0052-YNYOT,0,Female,0,0,0,67,1,0,No,0,0,0,0,0,0,One year,0,Electronic check,20.55,1343.4,0.685,20.050746268656717
0056-EPFBG,0,Male,0,1,1,20,0,0,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),39.4,825.4,1.3133333333333332,41.269999999999996
0057-QBUQH,0,Female,0,0,1,43,1,1,No,0,0,0,0,0,0,Two year,1,Electronic check,25.1,1070.15,0.8366666666666667,24.887209302325584
0058-EVZWM,0,Female,0,1,0,55,1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.8,4959.6,2.993333333333333,90.17454545454547
0060-FUALY,0,Female,0,1,0,59,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,94.75,5597.65,3.158333333333333,94.87542372881356
0064-SUDOG,0,Female,0,1,1,12,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.3,224.5,0.6766666666666666,18.708333333333332
0064-YIJGF,0,Male,0,1,1,27,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.75,1929.0,2.525,71.44444444444444
0067-DKWBL,1,Male,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.25,91.1,1.6416666666666666,45.55
0068-FIGTF,0,Female,0,0,0,27,1,0,DSL,0,1,1,1,1,1,One year,0,Mailed check,78.2,2078.95,2.606666666666667,76.99814814814815
0071-NDAFP,0,Male,0,1,1,25,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),25.5,630.6,0.85,25.224
0074-HDKDG,0,Male,0,1,1,25,1,0,DSL,1,1,1,0,0,0,One year,1,Bank transfer (automatic),61.6,1611.0,2.0533333333333332,64.44
0076-LVEPS,0,Male,0,0,1,29,0,0,DSL,1,1,1,1,0,0,Month-to-month,1,Mailed check,45.0,1242.45,1.5,42.84310344827586
0078-XZMHT,0,Male,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),85.15,6316.2,2.8383333333333334,87.725
0080-EMYVY,0,Female,0,0,0,14,1,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),51.45,727.85,1.715,51.989285714285714
0080-OROZO,0,Female,0,0,0,35,1,0,Fiber optic,0,0,1,1,1,1,One year,1,Electronic check,99.25,3532.0,3.308333333333333,100.91428571428571
0082-LDZUE,0,Male,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,44.3,44.3,1.4766666666666666,44.3
0082-OQIQY,0,Male,0,0,0,29,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.2,2607.6,3.14,89.91724137931034
0083-PIVIK,0,Male,0,0,0,64,1,1,DSL,1,1,1,1,1,0,One year,0,Electronic check,81.25,5567.55,2.7083333333333335,86.99296875
0089-IIQKO,0,Female,0,1,1,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),99.95,3767.4,3.3316666666666666,96.60000000000001
0093-EXYQL,0,Female,1,0,0,40,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,91.55,3673.6,3.0516666666666667,91.84
0093-XWZFY,1,Male,0,0,0,40,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Credit card (automatic),104.5,4036.85,3.4833333333333334,100.92125
0094-OIFMO,1,Female,1,0,0,11,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,95.0,1120.3,3.1666666666666665,101.84545454545454
0096-BXERS,0,Female,0,1,0,6,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,50.35,314.55,1.6783333333333335,52.425000000000004
0096-FCPUF,0,Male,0,0,0,30,1,1,DSL,1,0,0,0,0,1,Month-to-month,1,Mailed check,64.5,1888.45,2.15,62.94833333333334
0098-BOWSO,0,Male,0,0,0,27,1,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,19.4,529.8,0.6466666666666666,19.62222222222222
0100-DUVFC,0,Male,1,1,0,70,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,104.8,7308.95,3.493333333333333,104.41357142857143
0103-CSITQ,0,Female,0,1,0,57,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),109.4,6252.7,3.646666666666667,109.69649122807017
0104-PPXDV,0,Male,0,1,0,58,1,0,DSL,0,0,1,0,0,0,One year,0,Credit card (automatic),50.3,2878.55,1.6766666666666665,49.630172413793105
0106-GHRQR,0,Male,0,0,0,16,1,1,DSL,0,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),71.4,1212.1,2.3800000000000003,75.75625
0106-UGRDO,0,Female,0,1,0,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,116.0,8182.85,3.8666666666666667,118.59202898550726
0107-WESLM,1,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,19.85,19.85,0.6616666666666667,19.85
0107-YHINA,1,Male,0,0,1,1,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.75,99.75,3.325,99.75
0111-KLBQG,0,Male,1,1,1,32,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Mailed check,93.95,2861.45,3.131666666666667,89.4203125
0112-QAWRZ,0,Male,0,1,1,16,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Bank transfer (automatic),90.8,1442.2,3.0266666666666664,90.1375
0112-QWPNC,1,Male,0,1,0,49,1,1,DSL,1,0,1,1,1,1,One year,0,Electronic check,84.35,4059.35,2.8116666666666665,82.84387755102041
0114-IGABW,0,Female,0,1,0,71,0,0,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),58.25,4145.9,1.9416666666666667,58.39295774647887
0114-PEGZZ,0,Female,0,0,0,33,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,107.55,3645.5,3.585,110.46969696969697
0114-RSRRW,0,Female,0,1,0,10,1,0,No,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),19.95,187.75,0.6649999999999999,18.775
0115-TFERT,1,Male,0,1,0,21,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,111.2,2317.1,3.7066666666666666,110.33809523809524
0117-LFRMW,1,Male,0,1,1,37,0,0,DSL,1,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,1.34,39.15675675675676
0118-JPNOY,0,Female,1,0,0,26,1,0,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Credit card (automatic),85.8,2193.65,2.86,84.37115384615385
0121-SNYRK,0,Male,0,0,0,50,0,0,DSL,1,0,0,1,0,0,One year,1,Mailed check,35.4,1748.9,1.18,34.978
0122-OAHPZ,1,Female,0,0,0,7,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,73.85,511.25,2.4616666666666664,73.03571428571429
0123-CRBRT,0,Female,0,1,1,61,1,1,DSL,1,1,1,1,1,1,Two year,0,Mailed check,88.1,5526.75,2.9366666666666665,90.60245901639344
0125-LZQXK,1,Male,0,0,0,15,1,0,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,101.35,1553.95,3.378333333333333,103.59666666666666
0128-MKWSG,0,Female,0,0,1,26,0,0,DSL,1,0,0,1,0,1,Month-to-month,0,Mailed check,45.8,1147.0,1.5266666666666666,44.11538461538461
0129-KPTWJ,0,Male,0,1,0,72,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,94.65,6747.35,3.1550000000000002,93.71319444444445
0129-QMPDR,0,Male,0,1,1,44,1,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),20.5,865.05,0.6833333333333333,19.660227272727273
0130-SXOUN,0,Male,0,0,0,66,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),89.4,5976.9,2.98,90.5590909090909
0133-BMFZO,1,Female,0,0,0,2,1,0,Fiber optic,1,1,0,1,0,0,Month-to-month,1,Electronic check,86.25,181.65,2.875,90.825
0134-XWXCE,0,Female,1,0,0,44,1,0,DSL,0,0,1,1,1,1,One year,0,Bank transfer (automatic),74.85,3268.05,2.4949999999999997,74.27386363636364
0135-NMXAP,1,Female,0,0,0,12,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.75,1052.4,2.9916666666666667,87.7
0136-IFMYD,0,Male,1,1,0,69,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Electronic check,109.95,7634.25,3.665,110.6413043478261
0137-OCGAB,1,Female,0,0,0,1,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Mailed check,80.2,80.2,2.6733333333333333,80.2
0137-UDEUO,1,Female,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.85,63.75,0.6616666666666667,21.25
0139-IVFJG,0,Female,0,1,0,2,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,90.35,190.5,3.0116666666666663,95.25
0141-YEAYS,0,Female,1,0,0,27,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),86.45,2401.05,2.881666666666667,88.92777777777779
0142-GVYSN,0,Male,0,0,0,26,1,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,20.3,511.25,0.6766666666666666,19.66346153846154
0147-ESWWR,0,Female,1,1,0,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,101.25,3949.15,3.375,101.26025641025642
0148-DCDOS,1,Male,0,0,0,25,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),94.7,2362.1,3.1566666666666667,94.484
0151-ONTOV,1,Female,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,70.9,70.9,2.3633333333333337,70.9
0156-FVPTA,1,Male,0,1,0,22,1,0,DSL,1,0,0,1,0,0,Month-to-month,1,Electronic check,54.2,1152.7,1.8066666666666669,52.39545454545455
0164-APGRB,0,Female,0,0,0,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,114.9,8496.7,3.83,118.00972222222224
0164-XAIRP,0,Female,0,0,0,24,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),19.55,470.2,0.6516666666666667,19.591666666666665
0168-XZKBB,0,Female,0,1,0,19,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,86.85,1564.4,2.895,82.33684210526316
0174-QRVVY,0,Male,0,1,1,71,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),25.35,1847.55,0.8450000000000001,26.021830985915493
0177-PXBAT,0,Male,1,1,0,33,1,1,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),109.9,3694.7,3.6633333333333336,111.96060606060605
0178-CIIKR,0,Female,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.95,58.0,0.6649999999999999,19.333333333333332
0178-SZBHO,0,Male,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,0,Electronic check,87.2,4017.45,2.9066666666666667,85.47765957446808
0181-RITDD,0,Male,0,1,1,62,1,0,Fiber optic,1,1,1,1,1,1,Two year,0,Mailed check,108.15,6825.65,3.605,110.09112903225805
0186-CAERR,0,Male,0,0,0,71,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Bank transfer (automatic),116.3,8309.55,3.8766666666666665,117.03591549295774
0187-QSXOE,0,Male,1,1,0,7,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.0,605.45,2.966666666666667,86.49285714285715
0187-WZNAB,0,Female,0,1,1,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Mailed check,74.4,1972.35,2.48,73.05
0188-GWFLE,0,Male,0,0,0,2,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.05,33.7,0.6683333333333333,16.85
0191-EQUUH,0,Female,0,0,1,25,0,0,DSL,1,0,0,1,0,0,Two year,0,Bank transfer (automatic),35.05,844.45,1.1683333333333332,33.778
0191-ZHSKZ,0,Male,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.3,2.4916666666666667,70.37666666666668
0193-ESZXP,1,Female,1,1,0,58,1,0,Fiber optic,1,1,0,1,1,1,One year,1,Credit card (automatic),105.5,6205.5,3.5166666666666666,106.99137931034483
0195-IESCP,1,Male,0,1,0,10,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.25,855.3,2.841666666666667,85.53
0196-JTUQI,0,Female,0,0,0,9,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),75.2,633.85,2.506666666666667,70.42777777777778
0196-VULGZ,1,Female,1,1,0,6,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.35,474.9,2.8116666666666665,79.14999999999999
0197-PNKNK,0,Female,0,1,1,69,1,1,Fiber optic,1,0,1,0,0,0,One year,0,Bank transfer (automatic),84.45,5848.6,2.815,84.76231884057971
0201-MIBOL,0,Female,1,0,0,66,1,1,Fiber optic,1,0,0,0,1,1,Two year,1,Bank transfer (automatic),102.4,6471.85,3.4133333333333336,98.05833333333334
0201-OAMXR,1,Female,0,0,0,70,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Credit card (automatic),115.55,8127.6,3.8516666666666666,116.10857142857144
0203-HHYIJ,1,Male,0,0,0,25,1,1,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),25.3,676.35,0.8433333333333334,27.054000000000002
0206-OYVOC,0,Female,0,1,1,46,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.25,864.2,0.6416666666666667,18.786956521739132
0206-TBWLC,0,Female,0,1,0,54,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Mailed check,114.65,6049.5,3.8216666666666668,112.02777777777777
0207-MDKNV,1,Female,0,0,0,15,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,0,Electronic check,105.1,1582.75,3.503333333333333,105.51666666666667
0208-BPQEJ,0,Female,0,1,1,12,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),19.4,198.1,0.6466666666666666,16.508333333333333
0212-ISBBF,0,Female,0,0,0,22,0,0,DSL,0,1,0,0,1,1,Month-to-month,1,Electronic check,50.35,1098.85,1.6783333333333335,49.94772727272727
0214-JHPFW,0,Female,0,1,0,70,0,0,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),57.8,4039.3,1.9266666666666665,57.70428571428572
0215-BQKGS,0,Male,0,0,0,30,1,0,Fiber optic,1,1,1,0,0,0,Month-to-month,1,Credit card (automatic),84.3,2438.6,2.81,81.28666666666666
0218-QNVAS,0,Male,0,1,1,71,1,1,Fiber optic,0,1,0,0,1,1,One year,0,Bank transfer (automatic),100.55,7113.75,3.3516666666666666,100.19366197183099
0219-QAERP,0,Male,0,1,0,30,1,0,No,0,0,0,0,0,0,One year,0,Credit card (automatic),19.8,576.65,0.66,19.221666666666668
0219-YTZUE,1,Male,0,1,1,4,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),84.8,371.9,2.8266666666666667,92.975
0220-EBGCE,1,Male,0,0,0,2,1,0,Fiber optic,0,0,1,0,0,1,Month-to-month,1,Electronic check,85.85,167.3,2.8616666666666664,83.65
0221-NAUXK,0,Male,0,0,1,10,1,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),19.95,219.5,0.6649999999999999,21.95
0221-WMXNQ,0,Male,1,0,0,4,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,75.35,273.4,2.5116666666666663,68.35
0222-CNVPT,0,Male,1,0,0,52,0,0,DSL,1,0,0,0,1,1,Month-to-month,1,Credit card (automatic),48.8,2555.05,1.6266666666666665,49.135576923076925
0224-HJAPT,1,Male,0,0,0,5,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,47.15,223.15,1.5716666666666665,44.63
0224-NIJLP,0,Male,0,1,1,8,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.15,165.5,0.6716666666666666,20.6875
0224-RLWWD,0,Female,1,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,44.3,89.3,1.4766666666666666,44.65
0225-ZORZP,0,Male,0,0,0,3,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,84.3,235.05,2.81,78.35000000000001
0228-MAUWC,0,Male,0,0,0,19,1,1,DSL,0,0,1,1,0,0,Month-to-month,0,Electronic check,59.55,1144.6,1.9849999999999999,60.24210526315789
0229-LFJAF,0,Male,0,0,0,72,1,1,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),69.65,4908.25,2.3216666666666668,68.17013888888889
0230-UBYPQ,0,Male,1,1,0,63,0,0,DSL,1,0,0,1,0,0,One year,0,Bank transfer (automatic),36.1,2298.9,1.2033333333333334,36.490476190476194
0230-WEQUW,0,Male,0,1,0,66,0,0,DSL,1,1,1,1,1,0,Two year,1,Bank transfer (automatic),56.6,3789.2,1.8866666666666667,57.41212121212121
0231-LXVAP,1,Male,0,0,0,1,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,1,Electronic check,75.9,75.9,2.5300000000000002,75.9
0233-FTHAV,0,Female,0,0,0,60,1,1,Fiber optic,0,0,1,0,0,0,One year,1,Bank transfer (automatic),79.2,4765.0,2.64,79.41666666666667
0234-TEVTT,0,Female,0,1,1,48,0,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),45.0,2196.3,1.5,45.75625
0235-KGSLC,1,Female,0,0,0,1,1,0,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Credit card (automatic),85.55,85.55,2.8516666666666666,85.55
0236-HFWSV,1,Male,0,0,0,15,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,93.35,1444.65,3.1116666666666664,96.31
0237-YFUTL,0,Female,0,1,0,50,1,1,Fiber optic,1,1,0,1,1,1,Month-to-month,1,Bank transfer (automatic),109.65,5405.8,3.6550000000000002,108.116
0238-WHBIQ,0,Male,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,0,Credit card (automatic),89.7,6339.3,2.99,88.04583333333333
0239-OXEXL,0,Female,0,0,0,46,1,1,Fiber optic,1,1,0,0,0,0,Month-to-month,0,Mailed check,84.25,3847.6,2.808333333333333,83.64347826086956
0244-LGNFY,0,Female,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,0,Bank transfer (automatic),92.65,6733.0,3.0883333333333334,93.51388888888889
0247-SLUJI,0,Male,0,1,1,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.7,19.7,0.6566666666666666,19.7
0248-IPDFW,0,Female,0,0,0,1,1,1,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,50.1,50.1,1.6700000000000002,50.1
0248-PGHBZ,0,Female,1,0,0,67,1,0,Fiber optic,1,1,0,1,1,0,Two year,1,Bank transfer (automatic),92.45,6140.85,3.0816666666666666,91.65447761194031
0253-ZTEOB,0,Female,0,1,1,48,1,1,DSL,0,1,0,1,1,1,Two year,0,Electronic check,79.65,3870.3,2.6550000000000002,80.63125000000001
0254-FNMCI,0,Female,0,0,0,72,1,0,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,109.9,7624.2,3.6633333333333336,105.89166666666667
0254-KCJGT,0,Male,0,1,0,52,1,1,DSL,1,1,1,1,0,1,One year,1,Credit card (automatic),81.4,4354.45,2.7133333333333334,83.73942307692307
0254-WWRKD,0,Female,0,1,1,67,1,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),50.55,3431.75,1.6849999999999998,51.22014925373134
0256-LTHVJ,1,Female,0,1,1,28,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,81.05,2227.1,2.7016666666666667,79.53928571428571
0257-KXZGU,0,Female,0,1,1,32,1,1,DSL,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),62.45,2045.55,2.0816666666666666,63.9234375
0257-ZESQC,1,Female,1,1,0,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.2,1929.35,2.506666666666667,71.4574074074074
0258-NOKBL,0,Male,0,0,0,3,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,0,Electronic check,90.4,268.45,3.0133333333333336,89.48333333333333
0259-GBZSH,1,Male,0,0,0,2,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,85.65,181.5,2.855,90.75
0260-ZDLGK,1,Female,0,0,1,9,1,0,DSL,0,0,1,1,1,1,Month-to-month,1,Mailed check,72.9,651.4,2.43,72.37777777777778
0263-FJTQO,0,Male,0,1,1,50,1,1,DSL,1,0,0,1,1,0,Two year,1,Credit card (automatic),70.5,3486.65,2.35,69.733
0264-CNITK,0,Female,0,1,1,71,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.1,1389.6,0.67,19.57183098591549
0265-EDXBD,1,Male,1,1,0,32,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.9,2303.35,2.496666666666667,71.9796875
0265-PSUAE,0,Female,0,1,1,16,1,0,Fiber optic,1,0,1,0,1,1,Month-to-month,0,Bank transfer (automatic),100.7,1522.7,3.356666666666667,95.16875
0266-CLZKZ,0,Female,0,1,1,67,1,1,Fiber optic,0,0,1,1,1,1,Two year,1,Bank transfer (automatic),105.65,6717.9,3.521666666666667,100.26716417910447
0266-GMEAO,0,Male,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),114.3,8058.55,3.81,111.92430555555556
